#Release 14.7 - par P.20131013 (nt64)
#Copyright (c) 1995-2013 Xilinx, Inc.  All rights reserved.

#Wed Jan 27 17:23:04 2021

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       AdderSubtractor32bit_map.ncd
#OUTPUT FILE:      AdderSubtractor32bit_pad.csv
#PART TYPE:        xc7z010
#SPEED GRADE:      -1
#PACKAGE:          clg400
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
A1,,IOPAD,PS_DDR_DM0_502,UNUSED,,,,,,,,,,,
A2,,IOPAD,PS_DDR_DQ2_502,UNUSED,,,,,,,,,,,
A3,,,VCCO_DDR_502,,,,,,,,any******,,,,
A4,,IOPAD,PS_DDR_DQ3_502,UNUSED,,,,,,,,,,,
A5,,IOPAD,PS_MIO6_500,UNUSED,,,,,,,,,,,
A6,,IOPAD,PS_MIO5_500,UNUSED,,,,,,,,,,,
A7,,IOPAD,PS_MIO1_500,UNUSED,,,,,,,,,,,
A8,,,GND,,,,,,,,,,,,
A9,,IOPAD,PS_MIO43_501,UNUSED,,,,,,,,,,,
A10,,IOPAD,PS_MIO37_501,UNUSED,,,,,,,,,,,
A11,,IOPAD,PS_MIO36_501,UNUSED,,,,,,,,,,,
A12,,IOPAD,PS_MIO34_501,UNUSED,,,,,,,,,,,
A13,,,VCCO_MIO1_501,,,,,,,,any******,,,,
A14,,IOPAD,PS_MIO32_501,UNUSED,,,,,,,,,,,
A15,,IOPAD,PS_MIO26_501,UNUSED,,,,,,,,,,,
A16,,IOPAD,PS_MIO24_501,UNUSED,,,,,,,,,,,
A17,,IOPAD,PS_MIO20_501,UNUSED,,,,,,,,,,,
A18,,,GND,,,,,,,,,,,,
A19,,IOPAD,PS_MIO16_501,UNUSED,,,,,,,,,,,
A20,A<4>,IOB,IO_L2N_T0_AD8N_35,INPUT,LVCMOS18*,35,,,,NONE,,UNLOCATED,NO,NONE,
B1,,,GND,,,,,,,,,,,,
B2,,IOPAD,PS_DDR_DQS_N0_502,UNUSED,,,,,,,,,,,
B3,,IOPAD,PS_DDR_DQ1_502,UNUSED,,,,,,,,,,,
B4,,IOPAD,PS_DDR_DRST_B_502,UNUSED,,,,,,,,,,,
B5,,IOPAD,PS_MIO9_500,UNUSED,,,,,,,,,,,
B6,,,VCCO_MIO0_500,,,,,,,,any******,,,,
B7,,IOPAD,PS_MIO4_500,UNUSED,,,,,,,,,,,
B8,,IOPAD,PS_MIO2_500,UNUSED,,,,,,,,,,,
B9,,IOPAD,PS_MIO51_501,UNUSED,,,,,,,,,,,
B10,,IOPAD,PS_SRST_B_501,UNUSED,,,,,,,,,,,
B11,,,GND,,,,,,,,,,,,
B12,,IOPAD,PS_MIO48_501,UNUSED,,,,,,,,,,,
B13,,IOPAD,PS_MIO50_501,UNUSED,,,,,,,,,,,
B14,,IOPAD,PS_MIO47_501,UNUSED,,,,,,,,,,,
B15,,IOPAD,PS_MIO45_501,UNUSED,,,,,,,,,,,
B16,,,VCCO_MIO1_501,,,,,,,,any******,,,,
B17,,IOPAD,PS_MIO22_501,UNUSED,,,,,,,,,,,
B18,,IOPAD,PS_MIO18_501,UNUSED,,,,,,,,,,,
